x,y,L
-6,5.76102,5.76102
-5.92,5.53384,84.771
-5.84,5.2758,114.887
-5.76,4.9895,115.801
-5.68,4.67767,101.024
-5.6,4.34317,79.4884
-5.52,3.98896,56.79
-5.44,3.61808,36.1583
-5.36,3.2336,19.1925
-5.28,2.83863,6.41537
-5.2,2.43629,-2.31927
-5.12,2.02966,-7.53342
-5.04,1.62178,-9.92122
-4.96,1.21564,-10.213
-4.88,0.814117,-9.09052
-4.8,0.419995,-7.1391
-4.72,0.0359237,-4.8267
-4.64,0.335592,-2.50081
-4.56,0.692207,-0.396956
-4.48,1.03176,1.34603
-4.4,1.35226,2.66757
-4.32,1.65195,3.56631
-4.24,1.92926,4.08207
-4.16,2.18285,4.27993
-4.08,2.41158,4.23698
-4,2.61457,4.03185
-3.92,2.79117,3.73719
-3.84,2.94093,3.41457
-3.76,3.06366,3.11176
-3.68,3.15938,2.8617
-3.6,3.22833,2.68311
-3.52,3.27097,2.58195
-3.44,3.28797,2.5537
-3.36,3.28018,2.58592
-3.28,3.24863,2.66099
-3.2,3.19454,2.7586
-3.12,3.11927,2.8581
-3.04,3.02433,2.94043
-2.96,2.91133,2.98951
-2.88,2.78202,2.99333
-2.8,2.63822,2.94443
-2.72,2.48183,2.84006
-2.64,2.3148,2.68197
-2.56,2.13911,2.47581
-2.48,1.95676,2.23048
-2.4,1.76974,1.95716
-2.32,1.58005,1.66844
-2.24,1.38961,1.3773
-2.16,1.20031,1.0963
-2.08,1.01396,0.836716
-2,0.832294,0.60799
-1.92,0.656927,0.417219
-1.84,0.489374,0.268896
-1.76,0.331015,0.164807
-1.68,0.183098,0.104108
-1.6,0.0467192,0.0835538
-1.52,0.0771772,0.0978597
-1.44,0.18781,0.140159
-1.36,0.284565,0.202525
-1.28,0.366995,0.276534
-1.2,0.434829,0.353807
-1.12,0.487964,0.42654
-1.04,0.526469,0.487954
-0.96,0.550579,0.532667
-0.88,0.560693,0.556964
-0.8,0.557365,0.558949
-0.72,0.5413,0.538583
-0.64,0.513341,0.4976
-0.56,0.474463,0.439319
-0.48,0.425758,0.368359
-0.4,0.368424,0.29028
-0.32,0.303755,0.211169
-0.24,0.233121,0.137196
-0.16,0.157956,0.0741752
-0.08,0.0797441,0.0271448
0,0,0
0.08,0.0797441,-0.00480063
0.16,0.157956,0.0135633
0.24,0.233121,0.0541794
0.32,0.303755,0.114423
0.4,0.368424,0.190095
0.48,0.425758,0.275674
0.56,0.474463,0.364673
0.64,0.513341,0.450074
0.72,0.5413,0.524835
0.8,0.557365,0.582425
0.88,0.560693,0.61736
0.96,0.550579,0.625715
1.04,0.526469,0.605557
1.12,0.487964,0.557289
1.2,0.434829,0.483852
1.28,0.366995,0.390774
1.36,0.284565,0.286042
1.44,0.18781,0.179778
1.52,0.0771772,0.0837412
1.6,0.0467192,0.0106362
1.68,0.183098,-0.0267183
1.76,0.331015,-0.0163439
1.84,0.489374,0.0518776
1.92,0.656927,0.185178
2,0.832294,0.38694
2.08,1.01396,0.655878
2.16,1.20031,0.985444
2.24,1.38961,1.36354
2.32,1.58005,1.77259
2.4,1.76974,2.19012
2.48,1.95676,2.58976
2.56,2.13911,2.94279
2.64,2.3148,3.22021
2.72,2.48183,3.39523
2.8,2.63822,3.44615
2.88,2.78202,3.35942
2.96,2.91133,3.13274
3.04,3.02433,2.77787
3.12,3.11927,2.32288
3.2,3.19454,1.81346
3.28,3.24863,1.31285
3.36,3.28018,0.899979
3.44,3.28797,0.665413
3.52,3.27097,0.7046
3.6,3.22833,1.10824
3.68,3.15938,1.94951
3.76,3.06366,3.26825
3.84,2.94093,5.05247
3.92,2.79117,7.21798
4,2.61457,9.58755
4.08,2.41158,11.8718
4.16,2.18285,13.6548
4.24,1.92926,14.389
4.32,1.65195,13.405
4.4,1.35226,9.9442
4.48,1.03176,3.22371
4.56,0.692207,-7.45311
4.64,0.335592,-22.5253
4.72,0.0359237,-41.9223
4.8,0.419995,-64.7068
4.88,0.814117,-88.5842
4.96,1.21564,-109.241
5.04,1.62178,-119.473
5.12,2.02966,-108.048
5.2,2.43629,-58.246
5.28,2.83863,53.9967
5.36,3.2336,262.419
5.44,3.61808,613.344
5.52,3.98896,1169.28
5.6,4.34317,2013.36
5.68,4.67767,3254.7
5.76,4.9895,5034.98
5.84,5.2758,7536.36
5.92,5.53384,10990.9
6,5.76102,15692
