x,y,L
-3,2.96998,-1.82556
-2.96,2.91133,0.755453
-2.92,2.8486,2.17899
-2.88,2.78202,2.85052
-2.84,2.71182,3.0593
-2.8,2.63822,3.00594
-2.76,2.56148,2.82451
-2.72,2.48183,2.60012
-2.68,2.39952,2.38267
-2.64,2.3148,2.19751
-2.6,2.22791,2.0536
-2.56,2.13911,1.9496
-2.52,2.04864,1.87832
-2.48,1.95676,1.82988
-2.44,1.86371,1.7939
-2.4,1.76974,1.76087
-2.36,1.67511,1.72295
-2.32,1.58005,1.67435
-2.28,1.4848,1.6114
-2.24,1.38961,1.53246
-2.2,1.2947,1.43762
-2.16,1.20031,1.3284
-2.12,1.10666,1.20738
-2.08,1.01396,1.07789
-2.04,0.922439,0.943648
-2,0.832294,0.808518
-1.96,0.743725,0.676242
-1.92,0.656927,0.55027
-1.88,0.572084,0.433619
-1.84,0.489374,0.328783
-1.8,0.408964,0.237679
-1.76,0.331015,0.161629
-1.72,0.255679,0.101374
-1.68,0.183098,0.0571112
-1.64,0.113403,0.0285406
-1.6,0.0467192,0.0149349
-1.56,0.0168419,0.0152073
-1.52,0.0771772,0.0279863
-1.48,0.134194,0.0516891
-1.44,0.18781,0.0845913
-1.4,0.237954,0.124892
-1.36,0.284565,0.170772
-1.32,0.327592,0.220442
-1.28,0.366995,0.272188
-1.24,0.402747,0.324403
-1.2,0.434829,0.375612
-1.16,0.463234,0.424495
-1.12,0.487964,0.469895
-1.08,0.509035,0.510827
-1.04,0.526469,0.546479
-1,0.540302,0.576211
-0.96,0.550579,0.599548
-0.92,0.557355,0.616176
-0.88,0.560693,0.625928
-0.84,0.560669,0.628779
-0.8,0.557365,0.624833
-0.76,0.550875,0.614315
-0.72,0.5413,0.597557
-0.68,0.528749,0.574991
-0.64,0.513341,0.547139
-0.6,0.495201,0.514602
-0.56,0.474463,0.478053
-0.52,0.451266,0.438224
-0.48,0.425758,0.395901
-0.44,0.398091,0.351909
-0.4,0.368424,0.307106
-0.36,0.336923,0.262368
-0.32,0.303755,0.218578
-0.28,0.269096,0.176617
-0.24,0.233121,0.137341
-0.2,0.196013,0.101578
-0.16,0.157956,0.0701022
-0.12,0.119137,0.0436251
-0.08,0.0797441,0.0227776
-0.04,0.039968,0.0080944
0,0,1.32938e-12
0.04,0.039968,-0.00120532
0.08,0.0797441,0.00464267
0.12,0.119137,0.0175622
0.16,0.157956,0.0374182
0.2,0.196013,0.0639176
0.24,0.233121,0.0966088
0.28,0.269096,0.134884
0.32,0.303755,0.177985
0.36,0.336923,0.225016
0.4,0.368424,0.274956
0.44,0.398091,0.32668
0.48,0.425758,0.378978
0.52,0.451266,0.430587
0.56,0.474463,0.480216
0.6,0.495201,0.526578
0.64,0.513341,0.568427
0.68,0.528749,0.60459
0.72,0.5413,0.634002
0.76,0.550875,0.655742
0.8,0.557365,0.669063
0.84,0.560669,0.673422
0.88,0.560693,0.668506
0.92,0.557355,0.65425
0.96,0.550579,0.630855
1,0.540302,0.598793
1.04,0.526469,0.558806
1.08,0.509035,0.511904
1.12,0.487964,0.459342
1.16,0.463234,0.402602
1.2,0.434829,0.343357
1.24,0.402747,0.283434
1.28,0.366995,0.224765
1.32,0.327592,0.169334
1.36,0.284565,0.119125
1.4,0.237954,0.0760555
1.44,0.18781,0.0419186
1.48,0.134194,0.0183231
1.52,0.0771772,0.0066354
1.56,0.0168419,0.00792799
1.6,0.0467192,0.0229354
1.64,0.113403,0.0520201
1.68,0.183098,0.0951508
1.72,0.255679,0.151894
1.76,0.331015,0.221422
1.8,0.408964,0.302536
1.84,0.489374,0.393709
1.88,0.572084,0.49314
1.92,0.656927,0.598831
1.96,0.743725,0.708672
2,0.832294,0.820539
2.04,0.922439,0.9324
2.08,1.01396,1.04242
2.12,1.10666,1.14906
2.16,1.20031,1.25119
2.2,1.2947,1.34813
2.24,1.38961,1.43972
2.28,1.4848,1.52635
2.32,1.58005,1.60891
2.36,1.67511,1.68871
2.4,1.76974,1.76741
2.44,1.86371,1.84681
2.48,1.95676,1.92864
2.52,2.04864,2.01429
2.56,2.13911,2.10459
2.6,2.22791,2.19949
2.64,2.3148,2.29787
2.68,2.39952,2.3974
2.72,2.48183,2.49465
2.76,2.56148,2.58541
2.8,2.63822,2.66545
2.84,2.71182,2.73179
2.88,2.78202,2.78485
2.92,2.8486,2.83146
2.96,2.91133,2.88927
3,2.96998,2.99278
