x,y,L
-3,2.96998,2.96998
-2.96,2.91133,3.42565
-2.92,2.8486,3.75259
-2.88,2.78202,3.96781
-2.84,2.71182,4.08687
-2.8,2.63822,4.12398
-2.76,2.56148,4.09205
-2.72,2.48183,4.00278
-2.68,2.39952,3.86673
-2.64,2.3148,3.69338
-2.6,2.22791,3.49123
-2.56,2.13911,3.26784
-2.52,2.04864,3.02989
-2.48,1.95676,2.78324
-2.44,1.86371,2.53302
-2.4,1.76974,2.28363
-2.36,1.67511,2.03884
-2.32,1.58005,1.80183
-2.28,1.4848,1.57522
-2.24,1.38961,1.36114
-2.2,1.2947,1.16126
-2.16,1.20031,0.976822
-2.12,1.10666,0.808716
-2.08,1.01396,0.657482
-2.04,0.922439,0.523365
-2,0.832294,0.40634
-1.96,0.743725,0.306152
-1.92,0.656927,0.22234
-1.88,0.572084,0.154268
-1.84,0.489374,0.101154
-1.8,0.408964,0.0620904
-1.76,0.331015,0.0360713
-1.72,0.255679,0.0220128
-1.68,0.183098,0.0187733
-1.64,0.113403,0.0251726
-1.6,0.0467192,0.0400085
-1.56,0.0168419,0.0620732
-1.52,0.0771772,0.0901671
-1.48,0.134194,0.123112
-1.44,0.18781,0.159764
-1.4,0.237954,0.199021
-1.36,0.284565,0.239835
-1.32,0.327592,0.281218
-1.28,0.366995,0.32225
-1.24,0.402747,0.362085
-1.2,0.434829,0.399954
-1.16,0.463234,0.435171
-1.12,0.487964,0.467134
-1.08,0.509035,0.495329
-1.04,0.526469,0.519327
-1,0.540302,0.538789
-0.96,0.550579,0.553462
-0.92,0.557355,0.56318
-0.88,0.560693,0.567859
-0.84,0.560669,0.567498
-0.8,0.557365,0.562172
-0.76,0.550875,0.55203
-0.72,0.5413,0.537292
-0.68,0.528749,0.518242
-0.64,0.513341,0.495222
-0.6,0.495201,0.46863
-0.56,0.474463,0.438911
-0.52,0.451266,0.406549
-0.48,0.425758,0.372067
-0.44,0.398091,0.336015
-0.4,0.368424,0.298961
-0.36,0.336923,0.261491
-0.32,0.303755,0.224198
-0.28,0.269096,0.187673
-0.24,0.233121,0.1525
-0.2,0.196013,0.119252
-0.16,0.157956,0.0884775
-0.12,0.119137,0.0606984
-0.08,0.0797441,0.0364025
-0.04,0.039968,0.0160365
0,0,0
0.04,0.039968,-0.0113597
0.08,0.0797441,-0.0177535
0.12,0.119137,-0.0189553
0.16,0.157956,-0.0148065
0.2,0.196013,-0.0052199
0.24,0.233121,0.00981653
0.28,0.269096,0.0302371
0.32,0.303755,0.055896
0.36,0.336923,0.0865658
0.4,0.368424,0.121937
0.44,0.398091,0.161616
0.48,0.425758,0.20513
0.52,0.451266,0.251924
0.56,0.474463,0.301366
0.6,0.495201,0.35275
0.64,0.513341,0.4053
0.68,0.528749,0.458177
0.72,0.5413,0.510482
0.76,0.550875,0.561267
0.8,0.557365,0.609545
0.84,0.560669,0.654294
0.88,0.560693,0.694476
0.92,0.557355,0.729044
0.96,0.550579,0.756957
1,0.540302,0.777199
1.04,0.526469,0.78879
1.08,0.509035,0.790811
1.12,0.487964,0.782415
1.16,0.463234,0.762858
1.2,0.434829,0.731516
1.24,0.402747,0.68791
1.28,0.366995,0.631735
1.32,0.327592,0.562884
1.36,0.284565,0.481484
1.4,0.237954,0.387922
1.44,0.18781,0.282879
1.48,0.134194,0.167369
1.52,0.0771772,0.0427752
1.56,0.0168419,-0.0891128
1.6,0.0467192,-0.226055
1.64,0.113403,-0.365319
1.68,0.183098,-0.503633
1.72,0.255679,-0.637139
1.76,0.331015,-0.76134
1.8,0.408964,-0.871052
1.84,0.489374,-0.960345
1.88,0.572084,-1.02249
1.92,0.656927,-1.04989
1.96,0.743725,-1.03404
2,0.832294,-0.965435
2.04,0.922439,-0.833513
2.08,1.01396,-0.626599
2.12,1.10666,-0.331814
2.16,1.20031,0.0649898
2.2,1.2947,0.579308
2.24,1.38961,1.22807
2.28,1.4848,2.02971
2.32,1.58005,3.00426
2.36,1.67511,4.17346
2.4,1.76974,5.56081
2.44,1.86371,7.19168
2.48,1.95676,9.09342
2.52,2.04864,11.2955
2.56,2.13911,13.8294
2.6,2.22791,16.7291
2.64,2.3148,20.0309
2.68,2.39952,23.7736
2.72,2.48183,27.9985
2.76,2.56148,32.7499
2.8,2.63822,38.0747
2.84,2.71182,44.0231
2.88,2.78202,50.648
2.92,2.8486,58.0061
2.96,2.91133,66.157
3,2.96998,75.1642
