x,y,L
-3,2.96998,2.97388
-2.96,2.91133,2.90797
-2.92,2.8486,2.84534
-2.88,2.78202,2.78137
-2.84,2.71182,2.71373
-2.8,2.63822,2.64159
-2.76,2.56148,2.56501
-2.72,2.48183,2.48451
-2.68,2.39952,2.4008
-2.64,2.3148,2.3146
-2.6,2.22791,2.22651
-2.56,2.13911,2.13701
-2.52,2.04864,2.04639
-2.48,1.95676,1.95483
-2.44,1.86371,1.86241
-2.4,1.76974,1.76913
-2.36,1.67511,1.675
-2.32,1.58005,1.58005
-2.28,1.4848,1.48438
-2.24,1.38961,1.38815
-2.2,1.2947,1.29165
-2.16,1.20031,1.19528
-2.12,1.10666,1.09954
-2.08,1.01396,1.00503
-2.04,0.922439,0.912448
-2,0.832294,0.822553
-1.96,0.743725,0.736146
-1.92,0.656927,0.654045
-1.88,0.572084,0.577053
-1.84,0.489374,0.505935
-1.8,0.408964,0.441388
-1.76,0.331015,0.384018
-1.72,0.255679,0.334321
-1.68,0.183098,0.292661
-1.64,0.113403,0.259262
-1.6,0.0467192,0.234196
-1.56,0.0168419,0.217378
-1.52,0.0771772,0.208572
-1.48,0.134194,0.207387
-1.44,0.18781,0.213294
-1.4,0.237954,0.225635
-1.36,0.284565,0.243638
-1.32,0.327592,0.266439
-1.28,0.366995,0.293099
-1.24,0.402747,0.322629
-1.2,0.434829,0.354012
-1.16,0.463234,0.386226
-1.12,0.487964,0.418271
-1.08,0.509035,0.449184
-1.04,0.526469,0.478068
-1,0.540302,0.504107
-0.96,0.550579,0.526583
-0.92,0.557355,0.544891
-0.88,0.560693,0.55855
-0.84,0.560669,0.567212
-0.8,0.557365,0.570666
-0.76,0.550875,0.56884
-0.72,0.5413,0.561802
-0.68,0.528749,0.549752
-0.64,0.513341,0.533017
-0.6,0.495201,0.512039
-0.56,0.474463,0.487363
-0.52,0.451266,0.459625
-0.48,0.425758,0.429529
-0.44,0.398091,0.397836
-0.4,0.368424,0.365339
-0.36,0.336923,0.33285
-0.32,0.303755,0.301174
-0.28,0.269096,0.271092
-0.24,0.233121,0.243344
-0.2,0.196013,0.218611
-0.16,0.157956,0.197497
-0.12,0.119137,0.180517
-0.08,0.0797441,0.168085
-0.04,0.039968,0.160503
0,0,0.157955
0.04,0.039968,0.160503
0.08,0.0797441,0.168085
0.12,0.119137,0.180517
0.16,0.157956,0.197497
0.2,0.196013,0.218611
0.24,0.233121,0.243344
0.28,0.269096,0.271092
0.32,0.303755,0.301174
0.36,0.336923,0.33285
0.4,0.368424,0.365339
0.44,0.398091,0.397836
0.48,0.425758,0.429529
0.52,0.451266,0.459625
0.56,0.474463,0.487363
0.6,0.495201,0.512039
0.64,0.513341,0.533017
0.68,0.528749,0.549752
0.72,0.5413,0.561802
0.76,0.550875,0.56884
0.8,0.557365,0.570666
0.84,0.560669,0.567212
0.88,0.560693,0.55855
0.92,0.557355,0.544891
0.96,0.550579,0.526583
1,0.540302,0.504107
1.04,0.526469,0.478068
1.08,0.509035,0.449184
1.12,0.487964,0.418271
1.16,0.463234,0.386226
1.2,0.434829,0.354012
1.24,0.402747,0.322629
1.28,0.366995,0.293099
1.32,0.327592,0.266439
1.36,0.284565,0.243638
1.4,0.237954,0.225635
1.44,0.18781,0.213294
1.48,0.134194,0.207387
1.52,0.0771772,0.208572
1.56,0.0168419,0.217378
1.6,0.0467192,0.234196
1.64,0.113403,0.259262
1.68,0.183098,0.292661
1.72,0.255679,0.334321
1.76,0.331015,0.384018
1.8,0.408964,0.441388
1.84,0.489374,0.505935
1.88,0.572084,0.577053
1.92,0.656927,0.654045
1.96,0.743725,0.736146
2,0.832294,0.822553
2.04,0.922439,0.912448
2.08,1.01396,1.00503
2.12,1.10666,1.09954
2.16,1.20031,1.19528
2.2,1.2947,1.29165
2.24,1.38961,1.38815
2.28,1.4848,1.48438
2.32,1.58005,1.58005
2.36,1.67511,1.675
2.4,1.76974,1.76913
2.44,1.86371,1.86241
2.48,1.95676,1.95483
2.52,2.04864,2.04639
2.56,2.13911,2.13701
2.6,2.22791,2.22651
2.64,2.3148,2.3146
2.68,2.39952,2.4008
2.72,2.48183,2.48451
2.76,2.56148,2.56501
2.8,2.63822,2.64159
2.84,2.71182,2.71373
2.88,2.78202,2.78137
2.92,2.8486,2.84534
2.96,2.91133,2.90797
3,2.96998,2.97388
