x,y,L
-3,2.96998,2.96998
-2.96,2.91133,3.37571
-2.92,2.8486,3.51446
-2.88,2.78202,3.4817
-2.84,2.71182,3.34684
-2.8,2.63822,3.15884
-2.76,2.56148,2.95092
-2.72,2.48183,2.7444
-2.68,2.39952,2.55172
-2.64,2.3148,2.37899
-2.6,2.22791,2.22791
-2.56,2.13911,2.09728
-2.52,2.04864,1.9842
-2.48,1.95676,1.88491
-2.44,1.86371,1.79543
-2.4,1.76974,1.712
-2.36,1.67511,1.63133
-2.32,1.58005,1.55081
-2.28,1.4848,1.46853
-2.24,1.38961,1.38332
-2.2,1.2947,1.2947
-2.16,1.20031,1.20277
-2.12,1.10666,1.10813
-2.08,1.01396,1.0118
-2.04,0.922439,0.91505
-2,0.832294,0.819357
-1.96,0.743725,0.726262
-1.92,0.656927,0.6373
-1.88,0.572084,0.553923
-1.84,0.489374,0.477439
-1.8,0.408964,0.408964
-1.76,0.331015,0.349386
-1.72,0.255679,0.299347
-1.68,0.183098,0.25923
-1.64,0.113403,0.229162
-1.6,0.0467192,0.209018
-1.56,0.0168419,0.198444
-1.52,0.0771772,0.196873
-1.48,0.134194,0.203557
-1.44,0.18781,0.217592
-1.4,0.237954,0.237954
-1.36,0.284565,0.263531
-1.32,0.327592,0.293155
-1.28,0.366995,0.325633
-1.24,0.402747,0.359778
-1.2,0.434829,0.394437
-1.16,0.463234,0.428516
-1.12,0.487964,0.460999
-1.08,0.509035,0.490972
-1.04,0.526469,0.517631
-1,0.540302,0.540302
-0.96,0.550579,0.558441
-0.92,0.557355,0.571643
-0.88,0.560693,0.579643
-0.84,0.560669,0.582314
-0.8,0.557365,0.579663
-0.76,0.550875,0.571824
-0.72,0.5413,0.559051
-0.68,0.528749,0.541704
-0.64,0.513341,0.520242
-0.6,0.495201,0.495201
-0.56,0.474463,0.467191
-0.52,0.451266,0.436872
-0.48,0.425758,0.404941
-0.44,0.398091,0.372121
-0.4,0.368424,0.339139
-0.36,0.336923,0.306716
-0.32,0.303755,0.275553
-0.28,0.269096,0.246312
-0.24,0.233121,0.219613
-0.2,0.196013,0.196013
-0.16,0.157956,0.176004
-0.12,0.119137,0.159999
-0.08,0.0797441,0.148326
-0.04,0.039968,0.141226
0,0,0.138843
0.04,0.039968,0.141226
0.08,0.0797441,0.148326
0.12,0.119137,0.159999
0.16,0.157956,0.176004
0.2,0.196013,0.196013
0.24,0.233121,0.219613
0.28,0.269096,0.246312
0.32,0.303755,0.275553
0.36,0.336923,0.306716
0.4,0.368424,0.339139
0.44,0.398091,0.372121
0.48,0.425758,0.404941
0.52,0.451266,0.436872
0.56,0.474463,0.467191
0.6,0.495201,0.495201
0.64,0.513341,0.520242
0.68,0.528749,0.541704
0.72,0.5413,0.559051
0.76,0.550875,0.571824
0.8,0.557365,0.579663
0.84,0.560669,0.582314
0.88,0.560693,0.579643
0.92,0.557355,0.571643
0.96,0.550579,0.558441
1,0.540302,0.540302
1.04,0.526469,0.517631
1.08,0.509035,0.490972
1.12,0.487964,0.460999
1.16,0.463234,0.428516
1.2,0.434829,0.394437
1.24,0.402747,0.359778
1.28,0.366995,0.325633
1.32,0.327592,0.293155
1.36,0.284565,0.263531
1.4,0.237954,0.237954
1.44,0.18781,0.217592
1.48,0.134194,0.203557
1.52,0.0771772,0.196873
1.56,0.0168419,0.198444
1.6,0.0467192,0.209018
1.64,0.113403,0.229162
1.68,0.183098,0.25923
1.72,0.255679,0.299347
1.76,0.331015,0.349386
1.8,0.408964,0.408964
1.84,0.489374,0.477439
1.88,0.572084,0.553923
1.92,0.656927,0.6373
1.96,0.743725,0.726262
2,0.832294,0.819357
2.04,0.922439,0.91505
2.08,1.01396,1.0118
2.12,1.10666,1.10813
2.16,1.20031,1.20277
2.2,1.2947,1.2947
2.24,1.38961,1.38332
2.28,1.4848,1.46853
2.32,1.58005,1.55081
2.36,1.67511,1.63133
2.4,1.76974,1.712
2.44,1.86371,1.79543
2.48,1.95676,1.88491
2.52,2.04864,1.9842
2.56,2.13911,2.09728
2.6,2.22791,2.22791
2.64,2.3148,2.37899
2.68,2.39952,2.55172
2.72,2.48183,2.7444
2.76,2.56148,2.95092
2.8,2.63822,3.15884
2.84,2.71182,3.34684
2.88,2.78202,3.4817
2.92,2.8486,3.51446
2.96,2.91133,3.37571
3,2.96998,2.96998
