x,y,L
-6,5.76102,6.83116
-5.92,5.53384,5.8247
-5.84,5.2758,4.95121
-5.76,4.9895,4.1997
-5.68,4.67767,3.55974
-5.6,4.34317,3.02146
-5.52,3.98896,2.57551
-5.44,3.61808,2.21305
-5.36,3.2336,1.92578
-5.28,2.83863,1.70584
-5.2,2.43629,1.54587
-5.12,2.02966,1.43894
-5.04,1.62178,1.37857
-4.96,1.21564,1.3587
-4.88,0.814117,1.37368
-4.8,0.419995,1.41825
-4.72,0.0359237,1.48751
-4.64,0.335592,1.57696
-4.56,0.692207,1.68242
-4.48,1.03176,1.80005
-4.4,1.35226,1.92633
-4.32,1.65195,2.05807
-4.24,1.92926,2.19234
-4.16,2.18285,2.32652
-4.08,2.41158,2.45825
-4,2.61457,2.58541
-3.92,2.79117,2.70616
-3.84,2.94093,2.81887
-3.76,3.06366,2.92212
-3.68,3.15938,3.01473
-3.6,3.22833,3.09569
-3.52,3.27097,3.16419
-3.44,3.28797,3.21959
-3.36,3.28018,3.26144
-3.28,3.24863,3.2894
-3.2,3.19454,3.30332
-3.12,3.11927,3.30315
-3.04,3.02433,3.28899
-2.96,2.91133,3.26106
-2.88,2.78202,3.21966
-2.8,2.63822,3.1652
-2.72,2.48183,3.0982
-2.64,2.3148,3.01924
-2.56,2.13911,2.92898
-2.48,1.95676,2.82813
-2.4,1.76974,2.71749
-2.32,1.58005,2.59788
-2.24,1.38961,2.47018
-2.16,1.20031,2.33529
-2.08,1.01396,2.19415
-2,0.832294,2.04773
-1.92,0.656927,1.89701
-1.84,0.489374,1.74296
-1.76,0.331015,1.58658
-1.68,0.183098,1.42887
-1.6,0.0467192,1.2708
-1.52,0.0771772,1.11335
-1.44,0.18781,0.957472
-1.36,0.284565,0.804101
-1.28,0.366995,0.654148
-1.2,0.434829,0.508489
-1.12,0.487964,0.367971
-1.04,0.526469,0.233401
-0.96,0.550579,0.105547
-0.88,0.560693,-0.0148676
-0.8,0.557365,-0.127167
-0.72,0.5413,-0.230725
-0.64,0.513341,-0.324966
-0.56,0.474463,-0.40937
-0.48,0.425758,-0.483475
-0.4,0.368424,-0.546874
-0.32,0.303755,-0.599222
-0.24,0.233121,-0.640234
-0.16,0.157956,-0.669688
-0.08,0.0797441,-0.687424
0,0,-0.693347
0.08,0.0797441,-0.687424
0.16,0.157956,-0.669688
0.24,0.233121,-0.640234
0.32,0.303755,-0.599222
0.4,0.368424,-0.546874
0.48,0.425758,-0.483475
0.56,0.474463,-0.40937
0.64,0.513341,-0.324966
0.72,0.5413,-0.230725
0.8,0.557365,-0.127167
0.88,0.560693,-0.0148676
0.96,0.550579,0.105547
1.04,0.526469,0.233401
1.12,0.487964,0.367971
1.2,0.434829,0.508489
1.28,0.366995,0.654148
1.36,0.284565,0.804101
1.44,0.18781,0.957472
1.52,0.0771772,1.11335
1.6,0.0467192,1.2708
1.68,0.183098,1.42887
1.76,0.331015,1.58658
1.84,0.489374,1.74296
1.92,0.656927,1.89701
2,0.832294,2.04773
2.08,1.01396,2.19415
2.16,1.20031,2.33529
2.24,1.38961,2.47018
2.32,1.58005,2.59788
2.4,1.76974,2.71749
2.48,1.95676,2.82813
2.56,2.13911,2.92898
2.64,2.3148,3.01924
2.72,2.48183,3.0982
2.8,2.63822,3.1652
2.88,2.78202,3.21966
2.96,2.91133,3.26106
3.04,3.02433,3.28899
3.12,3.11927,3.30315
3.2,3.19454,3.30332
3.28,3.24863,3.2894
3.36,3.28018,3.26144
3.44,3.28797,3.21959
3.52,3.27097,3.16419
3.6,3.22833,3.09569
3.68,3.15938,3.01473
3.76,3.06366,2.92212
3.84,2.94093,2.81887
3.92,2.79117,2.70616
4,2.61457,2.58541
4.08,2.41158,2.45825
4.16,2.18285,2.32652
4.24,1.92926,2.19234
4.32,1.65195,2.05807
4.4,1.35226,1.92633
4.48,1.03176,1.80005
4.56,0.692207,1.68242
4.64,0.335592,1.57696
4.72,0.0359237,1.48751
4.8,0.419995,1.41825
4.88,0.814117,1.37368
4.96,1.21564,1.3587
5.04,1.62178,1.37857
5.12,2.02966,1.43894
5.2,2.43629,1.54587
5.28,2.83863,1.70584
5.36,3.2336,1.92578
5.44,3.61808,2.21305
5.52,3.98896,2.57551
5.6,4.34317,3.02146
5.68,4.67767,3.55974
5.76,4.9895,4.1997
5.84,5.2758,4.95121
5.92,5.53384,5.8247
6,5.76102,6.83116
