x,y,L
-6,5.76102,5.94231
-5.92,5.53384,5.36898
-5.84,5.2758,5.10605
-5.76,4.9895,4.95342
-5.68,4.67767,4.7914
-5.6,4.34317,4.55824
-5.52,3.98896,4.23242
-5.44,3.61808,3.81887
-5.36,3.2336,3.33849
-5.28,2.83863,2.82026
-5.2,2.43629,2.29567
-5.12,2.02966,1.79473
-5.04,1.62178,1.34349
-4.96,1.21564,0.962585
-4.88,0.814117,0.666546
-4.8,0.419995,0.463784
-4.72,0.0359237,0.356956
-4.64,0.335592,0.343624
-4.56,0.692207,0.417087
-4.48,1.03176,0.567283
-4.4,1.35226,0.781722
-4.32,1.65195,1.04637
-4.24,1.92926,1.34644
-4.16,2.18285,1.66716
-4.08,2.41158,1.99434
-4,2.61457,2.31486
-3.92,2.79117,2.61707
-3.84,2.94093,2.89106
-3.76,3.06366,3.12878
-3.68,3.15938,3.32417
-3.6,3.22833,3.47309
-3.52,3.27097,3.57328
-3.44,3.28797,3.62421
-3.36,3.28018,3.62693
-3.28,3.24863,3.58383
-3.2,3.19454,3.49843
-3.12,3.11927,3.37519
-3.04,3.02433,3.2192
-2.96,2.91133,3.03601
-2.88,2.78202,2.83142
-2.8,2.63822,2.61125
-2.72,2.48183,2.38122
-2.64,2.3148,2.14675
-2.56,2.13911,1.91288
-2.48,1.95676,1.68415
-2.4,1.76974,1.46454
-2.32,1.58005,1.25743
-2.24,1.38961,1.06554
-2.16,1.20031,0.891003
-2.08,1.01396,0.735299
-2,0.832294,0.599335
-1.92,0.656927,0.48347
-1.84,0.489374,0.387574
-1.76,0.331015,0.311085
-1.68,0.183098,0.253074
-1.6,0.0467192,0.212313
-1.52,0.0771772,0.187336
-1.44,0.18781,0.176508
-1.36,0.284565,0.178082
-1.28,0.366995,0.190251
-1.2,0.434829,0.211205
-1.12,0.487964,0.239162
-1.04,0.526469,0.272411
-0.96,0.550579,0.309339
-0.88,0.560693,0.348447
-0.8,0.557365,0.388368
-0.72,0.5413,0.427877
-0.64,0.513341,0.465889
-0.56,0.474463,0.501465
-0.48,0.425758,0.5338
-0.4,0.368424,0.562223
-0.32,0.303755,0.586185
-0.24,0.233121,0.605254
-0.16,0.157956,0.619101
-0.08,0.0797441,0.627499
0,0,0.630313
0.08,0.0797441,0.627499
0.16,0.157956,0.619101
0.24,0.233121,0.605254
0.32,0.303755,0.586185
0.4,0.368424,0.562223
0.48,0.425758,0.5338
0.56,0.474463,0.501465
0.64,0.513341,0.465889
0.72,0.5413,0.427877
0.8,0.557365,0.388368
0.88,0.560693,0.348447
0.96,0.550579,0.309339
1.04,0.526469,0.272411
1.12,0.487964,0.239162
1.2,0.434829,0.211205
1.28,0.366995,0.190251
1.36,0.284565,0.178082
1.44,0.18781,0.176508
1.52,0.0771772,0.187336
1.6,0.0467192,0.212313
1.68,0.183098,0.253074
1.76,0.331015,0.311085
1.84,0.489374,0.387574
1.92,0.656927,0.48347
2,0.832294,0.599335
2.08,1.01396,0.735299
2.16,1.20031,0.891003
2.24,1.38961,1.06554
2.32,1.58005,1.25743
2.4,1.76974,1.46454
2.48,1.95676,1.68415
2.56,2.13911,1.91288
2.64,2.3148,2.14675
2.72,2.48183,2.38122
2.8,2.63822,2.61125
2.88,2.78202,2.83142
2.96,2.91133,3.03601
3.04,3.02433,3.2192
3.12,3.11927,3.37519
3.2,3.19454,3.49843
3.28,3.24863,3.58383
3.36,3.28018,3.62693
3.44,3.28797,3.62421
3.52,3.27097,3.57328
3.6,3.22833,3.47309
3.68,3.15938,3.32417
3.76,3.06366,3.12878
3.84,2.94093,2.89106
3.92,2.79117,2.61707
4,2.61457,2.31486
4.08,2.41158,1.99434
4.16,2.18285,1.66716
4.24,1.92926,1.34644
4.32,1.65195,1.04637
4.4,1.35226,0.781722
4.48,1.03176,0.567283
4.56,0.692207,0.417087
4.64,0.335592,0.343624
4.72,0.0359237,0.356956
4.8,0.419995,0.463784
4.88,0.814117,0.666546
4.96,1.21564,0.962585
5.04,1.62178,1.34349
5.12,2.02966,1.79473
5.2,2.43629,2.29567
5.28,2.83863,2.82026
5.36,3.2336,3.33849
5.44,3.61808,3.81887
5.52,3.98896,4.23242
5.6,4.34317,4.55824
5.68,4.67767,4.7914
5.76,4.9895,4.95342
5.84,5.2758,5.10605
5.92,5.53384,5.36898
6,5.76102,5.94231
