x,y,L
-6,5.76102,5.76102
-5.92,5.53384,-0.0639035
-5.84,5.2758,-2.70734
-5.76,4.9895,-3.36544
-5.68,4.67767,-2.88925
-5.6,4.34317,-1.86431
-5.52,3.98896,-0.675196
-5.44,3.61808,0.442415
-5.36,3.2336,1.36047
-5.28,2.83863,2.02606
-5.2,2.43629,2.43629
-5.12,2.02966,2.61924
-5.04,1.62178,2.61982
-4.96,1.21564,2.48955
-4.88,0.814117,2.27957
-4.8,0.419995,2.03603
-4.72,0.0359237,1.79746
-4.64,0.335592,1.59347
-4.56,0.692207,1.4446
-4.48,1.03176,1.36277
-4.4,1.35226,1.35226
-4.32,1.65195,1.41102
-4.24,1.92926,1.53196
-4.16,2.18285,1.70437
-4.08,2.41158,1.91526
-4,2.61457,2.15046
-3.92,2.79117,2.3957
-3.84,2.94093,2.63739
-3.76,3.06366,2.86332
-3.68,3.15938,3.06306
-3.6,3.22833,3.22833
-3.52,3.27097,3.35307
-3.44,3.28797,3.43349
-3.36,3.28018,3.46799
-3.28,3.24863,3.45695
-3.2,3.19454,3.40249
-3.12,3.11927,3.30821
-3.04,3.02433,3.17885
-2.96,2.91133,3.01997
-2.88,2.78202,2.83765
-2.8,2.63822,2.63822
-2.72,2.48183,2.42794
-2.64,2.3148,2.21281
-2.56,2.13911,1.99837
-2.48,1.95676,1.78952
-2.4,1.76974,1.59046
-2.32,1.58005,1.40458
-2.24,1.38961,1.23446
-2.16,1.20031,1.08185
-2.08,1.01396,0.947711
-2,0.832294,0.832294
-1.92,0.656927,0.735199
-1.84,0.489374,0.655484
-1.76,0.331015,0.591765
-1.68,0.183098,0.54233
-1.6,0.0467192,0.505247
-1.52,0.0771772,0.478474
-1.44,0.18781,0.459951
-1.36,0.284565,0.447694
-1.28,0.366995,0.439864
-1.2,0.434829,0.434829
-1.12,0.487964,0.431206
-1.04,0.526469,0.42789
-0.96,0.550579,0.424064
-0.88,0.560693,0.419198
-0.8,0.557365,0.413033
-0.72,0.5413,0.405552
-0.64,0.513341,0.396945
-0.56,0.474463,0.387564
-0.48,0.425758,0.37788
-0.4,0.368424,0.368424
-0.32,0.303755,0.359749
-0.24,0.233121,0.352376
-0.16,0.157956,0.346756
-0.08,0.0797441,0.343238
0,0,0.34204
0.08,0.0797441,0.343238
0.16,0.157956,0.346756
0.24,0.233121,0.352376
0.32,0.303755,0.359749
0.4,0.368424,0.368424
0.48,0.425758,0.37788
0.56,0.474463,0.387564
0.64,0.513341,0.396945
0.72,0.5413,0.405552
0.8,0.557365,0.413033
0.88,0.560693,0.419198
0.96,0.550579,0.424064
1.04,0.526469,0.42789
1.12,0.487964,0.431206
1.2,0.434829,0.434829
1.28,0.366995,0.439864
1.36,0.284565,0.447694
1.44,0.18781,0.459951
1.52,0.0771772,0.478474
1.6,0.0467192,0.505247
1.68,0.183098,0.54233
1.76,0.331015,0.591765
1.84,0.489374,0.655484
1.92,0.656927,0.735199
2,0.832294,0.832294
2.08,1.01396,0.947711
2.16,1.20031,1.08185
2.24,1.38961,1.23446
2.32,1.58005,1.40458
2.4,1.76974,1.59046
2.48,1.95676,1.78952
2.56,2.13911,1.99837
2.64,2.3148,2.21281
2.72,2.48183,2.42794
2.8,2.63822,2.63822
2.88,2.78202,2.83765
2.96,2.91133,3.01997
3.04,3.02433,3.17885
3.12,3.11927,3.30821
3.2,3.19454,3.40249
3.28,3.24863,3.45695
3.36,3.28018,3.46799
3.44,3.28797,3.43349
3.52,3.27097,3.35307
3.6,3.22833,3.22833
3.68,3.15938,3.06306
3.76,3.06366,2.86332
3.84,2.94093,2.63739
3.92,2.79117,2.3957
4,2.61457,2.15046
4.08,2.41158,1.91526
4.16,2.18285,1.70437
4.24,1.92926,1.53196
4.32,1.65195,1.41102
4.4,1.35226,1.35226
4.48,1.03176,1.36277
4.56,0.692207,1.4446
4.64,0.335592,1.59347
4.72,0.0359237,1.79746
4.8,0.419995,2.03603
4.88,0.814117,2.27957
4.96,1.21564,2.48955
5.04,1.62178,2.61982
5.12,2.02966,2.61924
5.2,2.43629,2.43629
5.28,2.83863,2.02606
5.36,3.2336,1.36047
5.44,3.61808,0.442415
5.52,3.98896,-0.675196
5.6,4.34317,-1.86431
5.68,4.67767,-2.88925
5.76,4.9895,-3.36544
5.84,5.2758,-2.70734
5.92,5.53384,-0.0639035
6,5.76102,5.76102
