x,y,L
-3,2.96998,2.96998
-2.96,2.91133,21.2111
-2.92,2.8486,28.1865
-2.88,2.78202,28.4208
-2.84,2.71182,25.0246
-2.8,2.63822,20.0578
-2.76,2.56148,14.8142
-2.72,2.48183,10.0419
-2.68,2.39952,6.11259
-2.64,2.3148,3.14855
-2.6,2.22791,1.11639
-2.56,2.13911,-0.105229
-2.52,2.04864,-0.678238
-2.48,1.95676,-0.773537
-2.44,1.86371,-0.551016
-2.4,1.76974,-0.148239
-2.36,1.67511,0.324712
-2.32,1.58005,0.786155
-2.28,1.4848,1.18098
-2.24,1.38961,1.47721
-2.2,1.2947,1.66173
-2.16,1.20031,1.73589
-2.12,1.10666,1.7112
-2.08,1.01396,1.60556
-2.04,0.922439,1.44003
-2,0.832294,1.23632
-1.96,0.743725,1.01479
-1.92,0.656927,0.793212
-1.88,0.572084,0.585955
-1.84,0.489374,0.403643
-1.8,0.408964,0.253177
-1.76,0.331015,0.138016
-1.72,0.255679,0.0586401
-1.68,0.183098,0.0131181
-1.64,0.113403,-0.00227212
-1.6,0.0467192,0.00756512
-1.56,0.0168419,0.0371101
-1.52,0.0771772,0.0807209
-1.48,0.134194,0.133037
-1.44,0.18781,0.189284
-1.4,0.237954,0.24548
-1.36,0.284565,0.298547
-1.32,0.327592,0.346339
-1.28,0.366995,0.3876
-1.24,0.402747,0.421864
-1.2,0.434829,0.449321
-1.16,0.463234,0.470651
-1.12,0.487964,0.486858
-1.08,0.509035,0.499098
-1.04,0.526469,0.50853
-1,0.540302,0.516186
-0.96,0.550579,0.522871
-0.92,0.557355,0.529096
-0.88,0.560693,0.535044
-0.84,0.560669,0.54057
-0.8,0.557365,0.545229
-0.76,0.550875,0.548332
-0.72,0.5413,0.549018
-0.68,0.528749,0.54634
-0.64,0.513341,0.53936
-0.6,0.495201,0.527244
-0.56,0.474463,0.509344
-0.52,0.451266,0.485272
-0.48,0.425758,0.454962
-0.44,0.398091,0.418704
-0.4,0.368424,0.377156
-0.36,0.336923,0.331336
-0.32,0.303755,0.282591
-0.28,0.269096,0.232539
-0.24,0.233121,0.182999
-0.2,0.196013,0.1359
-0.16,0.157956,0.0931893
-0.12,0.119137,0.0567234
-0.08,0.0797441,0.0281725
-0.04,0.039968,0.00892388
0,0,0
0.04,0.039968,0.00199361
0.08,0.0797441,0.0150233
0.12,0.119137,0.0387137
0.16,0.157956,0.0722011
0.2,0.196013,0.114166
0.24,0.233121,0.162892
0.28,0.269096,0.216346
0.32,0.303755,0.272281
0.36,0.336923,0.328354
0.4,0.368424,0.382249
0.44,0.398091,0.431807
0.48,0.425758,0.475148
0.52,0.451266,0.510785
0.56,0.474463,0.537708
0.6,0.495201,0.555456
0.64,0.513341,0.564144
0.68,0.528749,0.564458
0.72,0.5413,0.557613
0.76,0.550875,0.54527
0.8,0.557365,0.529411
0.84,0.560669,0.512189
0.88,0.560693,0.495745
0.92,0.557355,0.482016
0.96,0.550579,0.472532
1,0.540302,0.468231
1.04,0.526469,0.469299
1.08,0.509035,0.475049
1.12,0.487964,0.483871
1.16,0.463234,0.493246
1.2,0.434829,0.49986
1.24,0.402747,0.499808
1.28,0.366995,0.488907
1.32,0.327592,0.463106
1.36,0.284565,0.418986
1.4,0.237954,0.354324
1.44,0.18781,0.268705
1.48,0.134194,0.16411
1.52,0.0771772,0.0454557
1.56,0.0168419,-0.0790016
1.6,0.0467192,-0.197474
1.64,0.113403,-0.29474
1.68,0.183098,-0.352633
1.72,0.255679,-0.351006
1.76,0.331015,-0.269258
1.8,0.408964,-0.0884772
1.84,0.489374,0.20575
1.88,0.572084,0.619905
1.92,0.656927,1.14854
1.96,0.743725,1.76991
2,0.832294,2.44158
2.04,0.922439,3.09633
2.08,1.01396,3.63934
2.12,1.10666,3.94719
2.16,1.20031,3.87031
2.2,1.2947,3.24033
2.24,1.38961,1.88455
2.28,1.4848,-0.349789
2.32,1.58005,-3.55798
2.36,1.67511,-7.72284
2.4,1.76974,-12.637
2.44,1.86371,-17.7965
2.48,1.95676,-22.2568
2.52,2.04864,-24.4446
2.56,2.13911,-21.9111
2.6,2.22791,-11.0164
2.64,2.3148,13.4709
2.68,2.39952,58.8783
2.72,2.48183,135.257
2.76,2.56148,256.16
2.8,2.63822,439.594
2.84,2.71182,709.186
2.88,2.78202,1095.59
2.92,2.8486,1638.21
2.96,2.91133,2387.2
3,2.96998,3405.96
