x,y,L
-6,5.76102,5.76102
-5.92,5.53384,5.06916
-5.84,5.2758,4.46078
-5.76,4.9895,3.92924
-5.68,4.67767,3.46822
-5.6,4.34317,3.07176
-5.52,3.98896,2.73419
-5.44,3.61808,2.45016
-5.36,3.2336,2.21462
-5.28,2.83863,2.0228
-5.2,2.43629,1.87021
-5.12,2.02966,1.75263
-5.04,1.62178,1.66611
-4.96,1.21564,1.60694
-4.88,0.814117,1.57166
-4.8,0.419995,1.55704
-4.72,0.0359237,1.56006
-4.64,0.335592,1.57795
-4.56,0.692207,1.60811
-4.48,1.03176,1.64817
-4.4,1.35226,1.69595
-4.32,1.65195,1.74942
-4.24,1.92926,1.80677
-4.16,2.18285,1.86633
-4.08,2.41158,1.92661
-4,2.61457,1.98626
-3.92,2.79117,2.04407
-3.84,2.94093,2.099
-3.76,3.06366,2.1501
-3.68,3.15938,2.19658
-3.6,3.22833,2.23776
-3.52,3.27097,2.27307
-3.44,3.28797,2.30203
-3.36,3.28018,2.32429
-3.28,3.24863,2.33958
-3.2,3.19454,2.34771
-3.12,3.11927,2.34858
-3.04,3.02433,2.34216
-2.96,2.91133,2.32851
-2.88,2.78202,2.30773
-2.8,2.63822,2.28
-2.72,2.48183,2.24554
-2.64,2.3148,2.20462
-2.56,2.13911,2.15758
-2.48,1.95676,2.10477
-2.4,1.76974,2.04658
-2.32,1.58005,1.98346
-2.24,1.38961,1.91586
-2.16,1.20031,1.84425
-2.08,1.01396,1.76914
-2,0.832294,1.69103
-1.92,0.656927,1.61047
-1.84,0.489374,1.52798
-1.76,0.331015,1.44409
-1.68,0.183098,1.35936
-1.6,0.0467192,1.27431
-1.52,0.0771772,1.18948
-1.44,0.18781,1.10539
-1.36,0.284565,1.02257
-1.28,0.366995,0.94151
-1.2,0.434829,0.862697
-1.12,0.487964,0.786599
-1.04,0.526469,0.713665
-0.96,0.550579,0.644322
-0.88,0.560693,0.578971
-0.8,0.557365,0.517988
-0.72,0.5413,0.461724
-0.64,0.513341,0.410497
-0.56,0.474463,0.364599
-0.48,0.425758,0.324287
-0.4,0.368424,0.289788
-0.32,0.303755,0.261296
-0.24,0.233121,0.23897
-0.16,0.157956,0.222933
-0.08,0.0797441,0.213275
0,0,0.21005
0.08,0.0797441,0.213275
0.16,0.157956,0.222933
0.24,0.233121,0.23897
0.32,0.303755,0.261296
0.4,0.368424,0.289788
0.48,0.425758,0.324287
0.56,0.474463,0.364599
0.64,0.513341,0.410497
0.72,0.5413,0.461724
0.8,0.557365,0.517988
0.88,0.560693,0.578971
0.96,0.550579,0.644322
1.04,0.526469,0.713665
1.12,0.487964,0.786599
1.2,0.434829,0.862697
1.28,0.366995,0.94151
1.36,0.284565,1.02257
1.44,0.18781,1.10539
1.52,0.0771772,1.18948
1.6,0.0467192,1.27431
1.68,0.183098,1.35936
1.76,0.331015,1.44409
1.84,0.489374,1.52798
1.92,0.656927,1.61047
2,0.832294,1.69103
2.08,1.01396,1.76914
2.16,1.20031,1.84425
2.24,1.38961,1.91586
2.32,1.58005,1.98346
2.4,1.76974,2.04658
2.48,1.95676,2.10477
2.56,2.13911,2.15758
2.64,2.3148,2.20462
2.72,2.48183,2.24554
2.8,2.63822,2.28
2.88,2.78202,2.30773
2.96,2.91133,2.32851
3.04,3.02433,2.34216
3.12,3.11927,2.34858
3.2,3.19454,2.34771
3.28,3.24863,2.33958
3.36,3.28018,2.32429
3.44,3.28797,2.30203
3.52,3.27097,2.27307
3.6,3.22833,2.23776
3.68,3.15938,2.19658
3.76,3.06366,2.1501
3.84,2.94093,2.099
3.92,2.79117,2.04407
4,2.61457,1.98626
4.08,2.41158,1.92661
4.16,2.18285,1.86633
4.24,1.92926,1.80677
4.32,1.65195,1.74942
4.4,1.35226,1.69595
4.48,1.03176,1.64817
4.56,0.692207,1.60811
4.64,0.335592,1.57795
4.72,0.0359237,1.56006
4.8,0.419995,1.55704
4.88,0.814117,1.57166
4.96,1.21564,1.60694
5.04,1.62178,1.66611
5.12,2.02966,1.75263
5.2,2.43629,1.87021
5.28,2.83863,2.0228
5.36,3.2336,2.21462
5.44,3.61808,2.45016
5.52,3.98896,2.73419
5.6,4.34317,3.07176
5.68,4.67767,3.46822
5.76,4.9895,3.92924
5.84,5.2758,4.46078
5.92,5.53384,5.06916
6,5.76102,5.76102
