x,y,L
-6,5.76102,0.0925187
-5.92,5.53384,2.77002
-5.84,5.2758,4.3421
-5.76,4.9895,5.0937
-5.68,4.67767,5.25615
-5.6,4.34317,5.01539
-5.52,3.98896,4.5189
-5.44,3.61808,3.88177
-5.36,3.2336,3.19185
-5.28,2.83863,2.51425
-5.2,2.43629,1.89523
-5.12,2.02966,1.36554
-5.04,1.62178,0.943354
-4.96,1.21564,0.636768
-4.88,0.814117,0.44602
-4.8,0.419995,0.365351
-4.72,0.0359237,0.384622
-4.64,0.335592,0.49069
-4.56,0.692207,0.668564
-4.48,1.03176,0.902377
-4.4,1.35226,1.17617
-4.32,1.65195,1.47453
-4.24,1.92926,1.78308
-4.16,2.18285,2.08887
-4.08,2.41158,2.38058
-4,2.61457,2.64874
-3.92,2.79117,2.88578
-3.84,2.94093,3.08601
-3.76,3.06366,3.2456
-3.68,3.15938,3.36245
-3.6,3.22833,3.43603
-3.52,3.27097,3.46724
-3.44,3.28797,3.45817
-3.36,3.28018,3.41192
-3.28,3.24863,3.33238
-3.2,3.19454,3.22399
-3.12,3.11927,3.09158
-3.04,3.02433,2.94015
-2.96,2.91133,2.7747
-2.88,2.78202,2.60009
-2.8,2.63822,2.42087
-2.72,2.48183,2.2412
-2.64,2.3148,2.06475
-2.56,2.13911,1.89466
-2.48,1.95676,1.73348
-2.4,1.76974,1.58315
-2.32,1.58005,1.44503
-2.24,1.38961,1.31989
-2.16,1.20031,1.20798
-2.08,1.01396,1.10906
-2,0.832294,1.02249
-1.92,0.656927,0.947269
-1.84,0.489374,0.882143
-1.76,0.331015,0.825657
-1.68,0.183098,0.776252
-1.6,0.0467192,0.732331
-1.52,0.0771772,0.692334
-1.44,0.18781,0.654799
-1.36,0.284565,0.61842
-1.28,0.366995,0.582086
-1.2,0.434829,0.544924
-1.12,0.487964,0.506314
-1.04,0.526469,0.465904
-0.96,0.550579,0.423614
-0.88,0.560693,0.379621
-0.8,0.557365,0.33434
-0.72,0.5413,0.288398
-0.64,0.513341,0.242597
-0.56,0.474463,0.197872
-0.48,0.425758,0.155247
-0.4,0.368424,0.115784
-0.32,0.303755,0.0805394
-0.24,0.233121,0.0505115
-0.16,0.157956,0.0266005
-0.08,0.0797441,0.00956718
0,0,2.54896e-12
0.08,0.0797441,-0.00171123
0.16,0.157956,0.00460701
0.24,0.233121,0.0189031
0.32,0.303755,0.0409012
0.4,0.368424,0.0701109
0.48,0.425758,0.105847
0.56,0.474463,0.14726
0.64,0.513341,0.193366
0.72,0.5413,0.243099
0.8,0.557365,0.295349
0.88,0.560693,0.349023
0.96,0.550579,0.403091
1.04,0.526469,0.456642
1.12,0.487964,0.508937
1.2,0.434829,0.559448
1.28,0.366995,0.607905
1.36,0.284565,0.654317
1.44,0.18781,0.699
1.52,0.0771772,0.742576
1.6,0.0467192,0.785972
1.68,0.183098,0.830394
1.76,0.331015,0.877294
1.84,0.489374,0.928318
1.92,0.656927,0.985237
2,0.832294,1.04987
2.08,1.01396,1.12401
2.16,1.20031,1.20928
2.24,1.38961,1.30709
2.32,1.58005,1.41848
2.4,1.76974,1.54404
2.48,1.95676,1.6838
2.56,2.13911,1.83715
2.64,2.3148,2.00277
2.72,2.48183,2.17856
2.8,2.63822,2.36164
2.88,2.78202,2.54834
2.96,2.91133,2.73424
3.04,3.02433,2.91426
3.12,3.11927,3.08275
3.2,3.19454,3.23369
3.28,3.24863,3.36085
3.36,3.28018,3.45806
3.44,3.28797,3.51944
3.52,3.27097,3.53976
3.6,3.22833,3.51469
3.68,3.15938,3.44119
3.76,3.06366,3.31779
3.84,2.94093,3.1449
3.92,2.79117,2.92511
4,2.61457,2.66332
4.08,2.41158,2.36694
4.16,2.18285,2.04585
4.24,1.92926,1.71236
4.32,1.65195,1.3809
4.4,1.35226,1.06763
4.48,1.03176,0.789903
4.56,0.692207,0.565417
4.64,0.335592,0.411323
4.72,0.0359237,0.343094
4.8,0.419995,0.373281
4.88,0.814117,0.510187
4.96,1.21564,0.756539
5.04,1.62178,1.10826
5.12,2.02966,1.55352
5.2,2.43629,2.07217
5.28,2.83863,2.63596
5.36,3.2336,3.20971
5.44,3.61808,3.75386
5.52,3.98896,4.22893
5.6,4.34317,4.60245
5.68,4.67767,4.85896
5.76,4.9895,5.01406
5.84,5.2758,5.1334
5.92,5.53384,5.35785
6,5.76102,5.93606
