x,y,L
-6,5.76102,-9.27894
-5.92,5.53384,-7.25356
-5.84,5.2758,-5.46837
-5.76,4.9895,-3.9026
-5.68,4.67767,-2.53678
-5.6,4.34317,-1.35276
-5.52,3.98896,-0.333566
-5.44,3.61808,0.53661
-5.36,3.2336,1.27248
-5.28,2.83863,1.88769
-5.2,2.43629,2.39492
-5.12,2.02966,2.80589
-5.04,1.62178,3.13142
-4.96,1.21564,3.38148
-4.88,0.814117,3.56524
-4.8,0.419995,3.69111
-4.72,0.0359237,3.76679
-4.64,0.335592,3.79928
-4.56,0.692207,3.79496
-4.48,1.03176,3.75961
-4.4,1.35226,3.69845
-4.32,1.65195,3.61617
-4.24,1.92926,3.51695
-4.16,2.18285,3.40454
-4.08,2.41158,3.28225
-4,2.61457,3.15298
-3.92,2.79117,3.01928
-3.84,2.94093,2.88334
-3.76,3.06366,2.74707
-3.68,3.15938,2.61204
-3.6,3.22833,2.47959
-3.52,3.27097,2.35082
-3.44,3.28797,2.2266
-3.36,3.28018,2.10759
-3.28,3.24863,1.9943
-3.2,3.19454,1.88706
-3.12,3.11927,1.78605
-3.04,3.02433,1.69135
-2.96,2.91133,1.60292
-2.88,2.78202,1.52063
-2.8,2.63822,1.44425
-2.72,2.48183,1.3735
-2.64,2.3148,1.30806
-2.56,2.13911,1.24754
-2.48,1.95676,1.19152
-2.4,1.76974,1.13959
-2.32,1.58005,1.09127
-2.24,1.38961,1.04613
-2.16,1.20031,1.00371
-2.08,1.01396,0.963569
-2,0.832294,0.925279
-1.92,0.656927,0.888432
-1.84,0.489374,0.852647
-1.76,0.331015,0.817571
-1.68,0.183098,0.782885
-1.6,0.0467192,0.748304
-1.52,0.0771772,0.713583
-1.44,0.18781,0.678517
-1.36,0.284565,0.642943
-1.28,0.366995,0.60674
-1.2,0.434829,0.569829
-1.12,0.487964,0.532177
-1.04,0.526469,0.49379
-0.96,0.550579,0.454719
-0.88,0.560693,0.415053
-0.8,0.557365,0.374923
-0.72,0.5413,0.334495
-0.64,0.513341,0.29397
-0.56,0.474463,0.253584
-0.48,0.425758,0.213601
-0.4,0.368424,0.174313
-0.32,0.303755,0.136036
-0.24,0.233121,0.0991057
-0.16,0.157956,0.0638765
-0.08,0.0797441,0.0307155
0,0,3.25334e-12
0.08,0.0797441,-0.0278867
0.16,0.157956,-0.0525592
0.24,0.233121,-0.0736338
0.32,0.303755,-0.0907327
0.4,0.368424,-0.103488
0.48,0.425758,-0.111545
0.56,0.474463,-0.114566
0.64,0.513341,-0.112238
0.72,0.5413,-0.104269
0.8,0.557365,-0.0903991
0.88,0.560693,-0.0703989
0.96,0.550579,-0.0440758
1.04,0.526469,-0.0112757
1.12,0.487964,0.0281133
1.2,0.434829,0.0741585
1.28,0.366995,0.12688
1.36,0.284565,0.186248
1.44,0.18781,0.252183
1.52,0.0771772,0.32455
1.6,0.0467192,0.403161
1.68,0.183098,0.487773
1.76,0.331015,0.578088
1.84,0.489374,0.67375
1.92,0.656927,0.774349
2,0.832294,0.87942
2.08,1.01396,0.988445
2.16,1.20031,1.10085
2.24,1.38961,1.21602
2.32,1.58005,1.33329
2.4,1.76974,1.45194
2.48,1.95676,1.57123
2.56,2.13911,1.69038
2.64,2.3148,1.80856
2.72,2.48183,1.92495
2.8,2.63822,2.03869
2.88,2.78202,2.14891
2.96,2.91133,2.25475
3.04,3.02433,2.35535
3.12,3.11927,2.44987
3.2,3.19454,2.5375
3.28,3.24863,2.61745
3.36,3.28018,2.68901
3.44,3.28797,2.7515
3.52,3.27097,2.80435
3.6,3.22833,2.84705
3.68,3.15938,2.87922
3.76,3.06366,2.90059
3.84,2.94093,2.91105
3.92,2.79117,2.91062
4,2.61457,2.89952
4.08,2.41158,2.87818
4.16,2.18285,2.84723
4.24,1.92926,2.80754
4.32,1.65195,2.76028
4.4,1.35226,2.70689
4.48,1.03176,2.64914
4.56,0.692207,2.58913
4.64,0.335592,2.52936
4.72,0.0359237,2.47271
4.8,0.419995,2.42253
4.88,0.814117,2.38262
4.96,1.21564,2.35727
5.04,1.62178,2.35134
5.12,2.02966,2.37024
5.2,2.43629,2.42
5.28,2.83863,2.5073
5.36,3.2336,2.63953
5.44,3.61808,2.82478
5.52,3.98896,3.07194
5.6,4.34317,3.39074
5.68,4.67767,3.79173
5.76,4.9895,4.28643
5.84,5.2758,4.8873
5.92,5.53384,5.60782
6,5.76102,6.46254
