x,y,L
-3,2.96998,11.4323
-2.96,2.91133,9.9021
-2.92,2.8486,8.54188
-2.88,2.78202,7.33739
-2.84,2.71182,6.27526
-2.8,2.63822,5.34294
-2.76,2.56148,4.52867
-2.72,2.48183,3.82148
-2.68,2.39952,3.21111
-2.64,2.3148,2.68799
-2.6,2.22791,2.24324
-2.56,2.13911,1.86859
-2.52,2.04864,1.55639
-2.48,1.95676,1.29954
-2.44,1.86371,1.0915
-2.4,1.76974,0.926257
-2.36,1.67511,0.798263
-2.32,1.58005,0.702448
-2.28,1.4848,0.634178
-2.24,1.38961,0.589235
-2.2,1.2947,0.563787
-2.16,1.20031,0.554374
-2.12,1.10666,0.557878
-2.08,1.01396,0.571508
-2.04,0.922439,0.592776
-2,0.832294,0.619479
-1.96,0.743725,0.649679
-1.92,0.656927,0.681684
-1.88,0.572084,0.714034
-1.84,0.489374,0.745479
-1.8,0.408964,0.774968
-1.76,0.331015,0.801631
-1.72,0.255679,0.824763
-1.68,0.183098,0.843811
-1.64,0.113403,0.858363
-1.6,0.0467192,0.868132
-1.56,0.0168419,0.872942
-1.52,0.0771772,0.872723
-1.48,0.134194,0.867494
-1.44,0.18781,0.857353
-1.4,0.237954,0.84247
-1.36,0.284565,0.823076
-1.32,0.327592,0.799453
-1.28,0.366995,0.771929
-1.24,0.402747,0.740865
-1.2,0.434829,0.706653
-1.16,0.463234,0.669705
-1.12,0.487964,0.630451
-1.08,0.509035,0.589328
-1.04,0.526469,0.546779
-1,0.540302,0.503244
-0.96,0.550579,0.459159
-0.92,0.557355,0.414951
-0.88,0.560693,0.371033
-0.84,0.560669,0.3278
-0.8,0.557365,0.285629
-0.76,0.550875,0.244873
-0.72,0.5413,0.205862
-0.68,0.528749,0.168898
-0.64,0.513341,0.134255
-0.6,0.495201,0.102178
-0.56,0.474463,0.0728813
-0.52,0.451266,0.0465465
-0.48,0.425758,0.0233249
-0.44,0.398091,0.00333515
-0.4,0.368424,-0.0133359
-0.36,0.336923,-0.0266329
-0.32,0.303755,-0.0365318
-0.28,0.269096,-0.0430388
-0.24,0.233121,-0.0461897
-0.2,0.196013,-0.0460483
-0.16,0.157956,-0.0427056
-0.12,0.119137,-0.0362781
-0.08,0.0797441,-0.0269063
-0.04,0.039968,-0.0147526
0,0,7.14342e-13
0.04,0.039968,0.0171504
0.08,0.0797441,0.0364813
0.12,0.119137,0.0577612
0.16,0.157956,0.0807472
0.2,0.196013,0.105187
0.24,0.233121,0.13082
0.28,0.269096,0.157382
0.32,0.303755,0.184608
0.36,0.336923,0.21223
0.4,0.368424,0.239985
0.44,0.398091,0.267615
0.48,0.425758,0.294868
0.52,0.451266,0.321504
0.56,0.474463,0.347293
0.6,0.495201,0.372021
0.64,0.513341,0.395491
0.68,0.528749,0.417522
0.72,0.5413,0.437958
0.76,0.550875,0.456662
0.8,0.557365,0.473524
0.84,0.560669,0.488458
0.88,0.560693,0.501407
0.92,0.557355,0.512343
0.96,0.550579,0.521266
1,0.540302,0.528209
1.04,0.526469,0.533236
1.08,0.509035,0.536444
1.12,0.487964,0.537962
1.16,0.463234,0.537951
1.2,0.434829,0.536605
1.24,0.402747,0.534151
1.28,0.366995,0.530847
1.32,0.327592,0.52698
1.36,0.284565,0.522869
1.4,0.237954,0.518858
1.44,0.18781,0.515317
1.48,0.134194,0.512641
1.52,0.0771772,0.511243
1.56,0.0168419,0.511558
1.6,0.0467192,0.514031
1.64,0.113403,0.51912
1.68,0.183098,0.52729
1.72,0.255679,0.539006
1.76,0.331015,0.554734
1.8,0.408964,0.574927
1.84,0.489374,0.600027
1.88,0.572084,0.630455
1.92,0.656927,0.666604
1.96,0.743725,0.708833
2,0.832294,0.757459
2.04,0.922439,0.812749
2.08,1.01396,0.874909
2.12,1.10666,0.944078
2.16,1.20031,1.02032
2.2,1.2947,1.10359
2.24,1.38961,1.19378
2.28,1.4848,1.29063
2.32,1.58005,1.39379
2.36,1.67511,1.50276
2.4,1.76974,1.61687
2.44,1.86371,1.73532
2.48,1.95676,1.85712
2.52,2.04864,1.98106
2.56,2.13911,2.10576
2.6,2.22791,2.22959
2.64,2.3148,2.35068
2.68,2.39952,2.46688
2.72,2.48183,2.5758
2.76,2.56148,2.67471
2.8,2.63822,2.76058
2.84,2.71182,2.83002
2.88,2.78202,2.87929
2.92,2.8486,2.90425
2.96,2.91133,2.90037
3,2.96998,2.86267
